Id,Comment
@joey1783,이 노래 원곡비디오에 이런 댓이 있었죠..  인류의 역사가 비디오게임이면 이 노래는 엔딩 크레딧으로 나올 노래라고...
@user-bv3vy8tj4d,"음식은몰라도 밴드는 영국이확실함  비틀즈,퀸,오아시스,뮤즈,라디오헤드,콜드플레이 전세계를 뒤흔들어버림"
@user-vj4lt5vu2r,"""성공한 사람에게는 추억을"" ""성공하려는 자에게는 용기를"""
@JERJEON,와 진짜 영화 한장면 넣어놓은거 같음..전율이 미쳤음...와...소름돋는다
@YunWon1,화려한 조명이 나를 감싼 옳은 예
@user-jk7qz6pb7p,미친 베이스드럼을 노래시작부터 끝까지 팔로치네 ㅅㅂㅋㅋㅋㅋㅋㅋㅋ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
@maHappyEnding,시험 공부 안했는데 만점 받을수 있을것만같은 자신감을 주는 노래.
@user-hd8vz7ww7w,"진짜 들을 때마다 매순간 빠짐없이 벅차오르는 개미친 노래 .., ㄹㅇ 죽기 전에는 꼭 라이브로 듣고싶음"
@december1780,"""라떼는 말이야"" 를 간지나게 소개하는 법"
@user-lg3ve3ix2m,북치는 애들 왜 맨날 고개 흔들면서 정줄 놓은 거마냥 치는가 했더니 ㅋㅋㅋㅋㅋ 쳐보니까 알겠더라 진짜 뒤질 거 같음 ㅋㅋㅋㅋㅋ 정줄을 안 놓으면 칠 수가 없음 ㅋㅋㅋㅋㅋㅋㅋ
@user-ou1on6vs2k,3:14 이때가 진짜 감동 최대치다….
@hakuna_matataz,진짜 천잰가..? 가사는 절망인데 멜로디가 희망 와.. . 적절하게 믹스매치한게 이리 잘 어울릴수가 세기의 곡이다
@user-sj3mv1rr1h,박자 단한번도 안틀리고 북치는 대머리 아저씨 넘 사랑스럽다
@cheeze8832,옛날에 전쟁할때 왜 타악기를 쳤는지 바로 이해가 됨 내한때 북소리 듣자마자 속에서 막 끓어 오르더라ㅋㅋㅋ
@user-nt5lr2qp6v,3:00 폭군이 죽고 새로운 왕이 즉위하기를 기다리는 듯한 백성들의 함성소리 같다. 절규하는 폭군의 노래소리와 대비되는 그들의 환호성 그리고 그의 최후를 심판하는 듯한 종소리까지 예술 그 자체
@user-en5nn9pm1p,"3:29 관객들도 다 감동받았겠지만, 반대의 입장에서 가수가 저렇게 수많은 관객앞에서 노래부를수있고, 환호하고 같이 따라부르면 그것또한 전율이 지릴거같음....가수나 관객이나 다 부럽다... 관객입장말고, 내가 저 중앙무대에서 나의 노래에 다들 따라불러주면 어떤느낌일까..."
@user-hk5wd5wk3u,입으로 삼키기보단 입으로 내뱉는 것을 선택한 나라...
@kingofthegimhae3831,카메라 앵글 진짜 ㅈ빠진다 ㄹㅇ 영화의 한 장면같음
@killer_duck_9320,다음 세대에게 자신의 전성기를 물려준다는 어쩌면 콜드플레이에게는 뜻깊은 노래네요
@beatrice1163,어릴 때 이 노래 듣고 무슨 곡인지 엄청 궁금해했는데 콜드플레이 음악이었구나 ㅋㅋㅋㅋ
@user-py9gd3ob6r,콜플 사랑해
@bbos-vm2mb,진짜 저런 공연장에서 노래하면 그 순간만은 왕처럼 느껴질 듯..부럽다
@user-tn8os5qc6y,개인적인 사정으로 인해 요새 우울한 기분과 바닥친 자존감때문에 힘들어하고 있었는데 이 노래를 들으면서 한결 자존감에 생기가 불어든 것 같습니다! 감사해요
@choiddol2000,와 에너지가 어마어마하네요 ~~
@user-mb6ew4fe6d,Viva La Vida가 개미친게 2008년에 나온건데 어떻게 이렇게 경이롭지? 진짜 타임머신 탄 것 같이 전혀 촌스럽지 않고 2008년에 나왔다는게 믿기지가 않음....
@user-td1sx3tl5j,2:12 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아 ㅅㅂ ㅌㅌㅌㅌㅌㅌㅌㅌㅌ장난치다가 봉으로 맞아서 노래 부르다 비명지르고 중단되는거 상상함ㅋㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌㅌ
@kkk-nk7bd,언제나 다시 듣게 되면 힘이 나는 노래
@ssl278,몇번을 봐도 질리지 않는 라이브 영상
@unsublee4895,2:12 ㄹㅇ 백인 북치는 형 표정 '어케했누?'
@haveto4488,3:11 팔찌 동시에 다켜지면서 떼창ㄷㄷ 진짜 온몸에 소름 돋는다
@SooStory8888,들을때마다 가슴이 웅장해지네요 굿
@icebear5736,시대가 변해도 영원한 명곡
@4a3d,여기 그 댓글 어디갔지?? 2:10 만약 이때 실수해서 손 찧고 아아악! 이러고 공연장 갑분싸되면 어땠을까 하던 거 ㅋㅌㅋㅋㅋㅋㅋ
@user-hk3eb3kc4k,저 상태에서 흥분안하고 차분한 목소리로 이끌어가는거...나같았으면 흥을 감당 못하고 옥타브 높게 올리다 휘청거리면서 관객석으로 떨어져 팬들한테 뽀뽀당하다 질식사로 죽을듯 ㄷㄷ
@jiyoungsuh4567,다른데서 본 가사해석보다 훨씬 뜻이 잘 통하고 와닿네요 역시.
@Eternal004,이게 2008년 노래라니 몇십번 들어도 질리지가 않음 웅장한 비트 사운드랑 관중의 환호성까지ㅠ가슴이벅참
@ddoddi,"2020존버단 모집합니다.. 죽기전에 가야하지않겠어요 콜드플레이콘서트..?? 그리고 될 수 있으면 “20대”에 가야죠 가장 청춘스러울때,, ㅠㅠ 이 노래 떼창하려고 가사 열심히 발음까지 신경써서 외웠단말이에요.. 제발 한번만 더 와줘..ㅠ"
@user-xb7hg7de6c,북치는오빠 공연끝나고 옆에사람이 밥먹여줘야되는거아니냐  손떨려서 포크도못들거같은데
@user-ij2xd2wp8g,콜드플레이의 공연은 꼭 한번 보고싶다 ㅠㅠ
@manbyeong,이 노랜 언제나 들어도 좋다 ㅎㅎ
@kimokjin1804,고등학생 때 어머니의 16비트 벨소리가 비바라비다였는데 그 때는 어머니가 세련된 사람이라는 걸 몰랐지. 지금 31살이 되어서도 맨날 이 노래를 듣고 있는 나를 보며 엄만 하늘에서 무슨 생각을 할까.
@jcy3827,저 북치는거 개 힘들다. 북치기가 주인공임 1분만 쳐도 팔 떨어져 나갈거 같은데 몇분을 치노
@user-qg9lt9su2j,직관한 사람들 인생에 후회가 없겠다 진짜 부럽네
@user-mw1wy5qm3b,가사가 중간중간 비는 부분이 많은데 이정도 분위기가 사는 곡인게 ㄹㅇ 대단하다
@lancepretuna1156,생존자 찾지 마라 우린 죽은적도 떠난적도 없이 항상 있었다.
@user-fo1pc9vi5r,2:12 저거 손 맞았으면 ㄹㅇ 갑분싸
@user-gx7mf9qm5j,"2017년 4/16일 내한했을 때 스탠딩 9번으로 맨 앞에서 펜스 잡고 직관했었는데… 군대 가기 전 큰맘 먹고 갔는데 내 생애 첫 콘서트이자 내 인생 최고의 추억 중 하나가 되어버렸네… 앞에선 크리스 마틴이 뒤에선 5만여 명의 관중들 목소리가 한번에 울려 퍼지는데 나도 모르게 따라 부르면서 폭풍오열했던 기억이 나네ㅎㅎ 그때 서로 초면인데도 즉석에서 친해진 형, 누나, 동생들… 그리고 콘서트의 시작과 함께 들어오던 자이로밴드의 불빛, 밤하늘을 밝히던 폭죽, 바람과 함께 흩날리던 종이 꽃가루 모든게 완벽했던 하루였다."
@user-jc8ol7kf8j,공부하다가 생각나서 듣고있는데 진짜 최고의선택 너무좋아요 ㅠㅠㅠ
@user-kf7pk9hg5q,분명히 쫓겨난 왕이 죽는 내용인데 새로운 왕이 행진하는것  같은 노래
@user-bd3qd2jn7z,진짜 대머리 아저씨 대단한게 머리는 다 놓쳤으면서 박자는 안놓쳐
@user-nk7pj5he1s,대단해!!40대에 저런 열정과 에너지가 넘치는 멋진 콜드플레이!!
@user-vg3dl6dp7h,이 영상을 처음에는 노래가 좋아서 듣게 되다가 그다음엔 현장 분위기에 취해서 또 듣게 되고 그렇게 또 듣다보면 마지막에는 북 치시는 분 텐션에 취해서 영상을 다시 보게 되는 매력이 있습니다. 저도 노래 내내 북 따라쳐봤는데 팔이 부셔질거 같더라고요. 북치시는거 보면 존경스러워요
@thechef518,진짜 저런 슈퍼스타가 왜 우울증에 걸리는지 알겠다... 화면으로만 봐도 엄청 벅차오르는데 저 무대에서의 현장감은 어떤 것과도 비교가 안된당 무대에서 내려와 집에 가는 길의 공허함은 견디기 힘들 듯...
@user-gl1ue2xb5o,유이가하마 유이 사랑해
@tgan7882,유니버스 보고 온분~다시 들으니 아소오름 돋는다
@jw_gardening_jopd,"내가 제일 좋아하는 밴드인 콜드플레이.. 빨리 시국 끝나서 콜드플레이 콘서트 보러 가고싶다,,"
@KK_SHOW,물리 공부하면서 듣다가 노벨물리학상 받는 상상했다
@user-we7nv5yo7k,1:51 왕관을 내려놓는  퍼포먼스 진짜 지렸다
@user-rs1jk2ye6p,이렇게 신나는데 그 감정을 조절하고 저렇게 노래를 부른다는게 대단하다
@user-pr9zr2ni4p,이 영상은 진짜 최고다 32살에 본게 아쉽다 느낄정도로....이제부터 매일 1일1회 봐야지 ㅎㅎ 영상 올려주셔서 너무 감사합니다 그리고 모두들 꿈을 이루시길 행복합시다
@user-fo7vz1vv4m,Viva La Vida에서 숨은 주인공은 북치시는 분이다...
@by_window,Viva La Vida는 아무리 들어도 소름돋고 경이롭다..진짜..
@civilian84,보통 노래는 가수 목소리가 더 감미로운데 이 곡은 연주도 정말 인상적이라서 밸런스가 잘맞춰져있음. 그래서 이 그룹이 대단한거 같음
@user-jy2vx4rf8s,정말 이런영상 올려주시는분들은...뭐랄까 너무나리 감사해서 황송해요♡
@Chef_kh,3:13 가수입장에서 어느정도의 전율이 느껴질까
@user-gl3fs2wx3v,1:50 왕관 내려두는 제스처는 지린다
@oj2358,사라진 인류애를 찾고자 할 때 마다 보러 옵니다. 삶에 찌들려서 피폐해지면 가사는 마음을 때리지만 공연 분위기와 경쾌한 멜로디가 해소해주네요...
@user-ng9qv6mk5w,고마워요모든선물
@user-rh8wj3rw9s,산티아고 순례길 .. 28일 걷는 중에 이 노래 듣고 싶어서 미치는 줄 알았다. 마지막에 듣고 싶어서.. 800km 중 1km 남기고 이 노래 듣는데  진짜 가슴 터질 것 같았고 계속 울면서 도착했다 잊지 못해
@junhwijeong2526,알람덕분에 제 최애곡을 여러번들어도 좋네요ㅎㅎ 여러분도 노래로 힐링하시고 행복하세요!!
@bamhyo_,한국 내한이.... 매우 시급해요... 이걸 한국에서 듣는다..? 심장이 남아나질 않겠는데
@user-ik9en2ys6e,인류 문화의 정점 같다..
@hwnngbo,"이 노래 처음 나왔을 때가 저 고1때였나, 친구네 집 아파트 옥상에서 들었는데, 고요한 밤에 이 노래 틀어놓고 있으니까 세상의 가장 높은 곳에 올라서 있는 느낌이라서 엄청 웅장했었어요 친구들도 다 소름돋는다면서. 이거 나중에 꼭 다시 한 번 더 높은곳에서 들어야겠다 생각했었어요. 몇 년뒤에 배낭여행으로 네팔 안나푸르나 트레킹 하면서 고산병으로 숨도 힘들게 쉬고 두통도 달며 올라갔어요. 그리고 도착한 ABC(베이스캠프)에서 새벽에 일어나 산 봉우리들을 마주보고 섰을 때 이 노래를 딱 틀었죠. 일출이 오면서 구름은 걷히고, 이어폰으로 내 귀에 노래가 흘러나오고, 천천히 주변을 둘러보는데,, 진짜 오감이 살아숨쉬는 느낌 받았었어요. 지금 이 순간은 내가 이 세상의 정복자다 이런 느낌 딱,,,"
@user-ilusian,"<가사 뜻 정리> - viva la vida : 인생이여 만세. 참고로 이 제목은 멕시코 화가 프리다 칼로의 작품 속에 써놓은 구절에서 인용한거라고 함. 프리다 칼로는 소아마비와 교통사고 후유증으로 평생 고통스럽게 살다가 진정제 과다복용으로 요절했는데 그의 마지막 작품에 저 구절을 대문짝만하게 적어뒀고, 그걸 본 크리스 마틴은 그런 삶을 산 화가가 저런 표현을 쓴 것에 대해 매우 깊은 감명을 받았다고 함.  - long live the king : 왕의 경축을 빌어주는 멘트. 사극에서 신하들이 왕한테 만수무강하소서 즈언하~ 하는거랑 비슷한 느낌  - I know Saint Peter won't call my name : 직역하면 성 베드로가 내 이름을 부르지 않을 걸 안다는 뜻이지만 실질적인 의미는 천국에 가지 못한다는 걸 안다는 뜻. 성 베드로는 예수의 12제자 중 한명으로 천국의 문지기인데, 죽어서 천국의 문으로 오는 사람들을 보고 천국에 갈 자격이 있는 사람만 들여보내 준다고 함."
@user-ko4bv9lr7c,설거지를 하면서 들어도 내가 여왕이 된 느낌을 들게 해주는 내 인생곡...  진짜 명곡입니다 ㅠㅠ
@user-dz8os9im2j,노래 넘 신나고 좋아용
@truwizla7712,나중에 꼭 콜드플레이의 영화가 나왔으면 좋겠다. 마지막 장면을 viva la vida를 이런식으로 연출하는거지..캬...생각만해도...그때까지 꼭 살아야겠다 ㄹㅇ
@user-pq5ue5vk3f,국어 공부하다가 들으니깐 존나 내가 한글 창제하는 기분인데  +) 시험공부하느라 듣는데 ㅅㅂ 시험이 계속 미뤄져 아 시험 2일 남음........나나 대박침
@Prime750,도입부만 들어도 가슴이 뛰는 명곡
@Ive.dive-14,오늘도 내 심장을 뛰게하는 노래. 감사합니다.
@user-cp6sd7vg4y,제가 이 노래 뭐냐고 친구한테 예전에 물어봤었는데 비바람이다 계속 이 ㅈㄹ 떨길래 꺼지라고 했었는데.....미안하다
@user-fr4wj9pf9b,이거 들으려고 소니 헤드셋 샀다.. 후회 절대안한다 자본주의 맛이 존나 달구나
@eeeeass-jt1pe,콜드플레이 감사합니다 이노래 들으면 성공하고싶어서 공부하게됨️‍️‍️‍
@user-gy5gi8ew7c,2024년에 온사람은 여기
@aphim7066,"2020년 10월입니다.  생존자는 손을 들어주세요  이제 11월이네요.  환절기 감기 조심하세요  벌써 12월입니다. 코로나가 다시 유행하니, 코로나 조심하세요  2021년 새해입니다! 새해 복 많이 받으시고 올해도 코로나 조심합시다.  벌써 2월이네요. 딱히 쓸 말이 없으니 명언 하나 적겠습니다. ""무엇이든 이루어지기 전까지는 불가능해 보인다."" 넬슨 만델라  3월 3.1절입니다. 이제 개학입니다.  학생 여러분 파이팅! 이제 코로나 백신 접종도 시작했으니 성과를 보이길.  4월입니다. 이제 정말 뭘 써야 될지 모르겠습니다. 대댓글로 뭘 쓸지 추천해주세요! 학생 여러분, 중간고사 화이팅!  5월, 늦었다 모두 중간고사는 잘 보셨나요?  6월입니다. 벌써 여름이네요. 요즘 코로나와 더불어 식중독균도 유행하니 음식 관리 잘하시기 바랍니다. 이번 여름에 엄청난 무더위가 찾아온다는데 과연 어떻게 지날지 모르겠네요. 곧 기말고사 이기도하니 기말고사 파이팅!  7월, 기말고사 못봐서 유튜브하지 말래요. 다시 기말고사 잘 보는 날까지 안녕."
@user-yz5ti1wp3u,데뷔할 때만 해도 20대였던 크리스와 멤버들.. 어느덧 벌써 40이 넘어가셨네.. 진짜 가장 멋진 청춘을 보낸 듯..
@user-ne5rd7ef1t,코로나가 빠르게 종식되고 모든사람들이 행복하고 활기를찾앗으면 좋겟다 콘서트에서 사람들이 환호하는 날이 다시돌아왓으면 좋겟네요 대한민국 국민분들 파이팅.!
@user-lk2nx2ez4l,떼창중 최고네요 음향감독님
